,Unnamed: 0_x,ZIPCODE,CUISINECODE,VIOLCODE,SCORE,CURRENTGRADE,GRADEDATE,Unnamed: 0_y,geocode
20483,3,10005,83.0,06F,13.0,A,2013-09-18 00:00:00,4,"(40.6998433, -74.0072436)"
20484,141,10005,47.0,06D,7.0,A,2013-08-05 00:00:00,4,"(40.6998433, -74.0072436)"
20485,1696,10005,69.0,10F,7.0,A,2013-06-12 00:00:00,4,"(40.6998433, -74.0072436)"
20486,2827,10005,28.0,06D,11.0,A,2013-07-15 00:00:00,4,"(40.6998433, -74.0072436)"
20487,3015,10005,3.0,02G,10.0,A,2013-01-07 00:00:00,4,"(40.6998433, -74.0072436)"
20488,3435,10005,83.0,06B,13.0,A,2013-09-18 00:00:00,4,"(40.6998433, -74.0072436)"
20489,3581,10005,47.0,10F,7.0,A,2013-08-05 00:00:00,4,"(40.6998433, -74.0072436)"
20490,3728,10005,83.0,10B,13.0,A,2013-09-18 00:00:00,4,"(40.6998433, -74.0072436)"
20491,4041,10005,3.0,10F,39.0,Z,2013-10-16 00:00:00,4,"(40.6998433, -74.0072436)"
20492,4505,10005,3.0,06D,11.0,A,2013-02-25 00:00:00,4,"(40.6998433, -74.0072436)"
20493,4506,10005,3.0,10B,11.0,A,2013-02-25 00:00:00,4,"(40.6998433, -74.0072436)"
20494,5749,10005,3.0,10F,4.0,A,2013-09-04 00:00:00,4,"(40.6998433, -74.0072436)"
20495,6146,10005,47.0,10F,11.0,A,2013-11-06 00:00:00,4,"(40.6998433, -74.0072436)"
20496,6183,10005,3.0,04A,39.0,Z,2013-10-16 00:00:00,4,"(40.6998433, -74.0072436)"
20497,6184,10005,3.0,09A,39.0,Z,2013-10-16 00:00:00,4,"(40.6998433, -74.0072436)"
20498,6488,10005,3.0,10F,7.0,A,2013-08-02 00:00:00,4,"(40.6998433, -74.0072436)"
20499,6818,10005,47.0,02G,11.0,A,2013-11-06 00:00:00,4,"(40.6998433, -74.0072436)"
20500,6846,10005,3.0,06D,7.0,A,2013-10-04 00:00:00,4,"(40.6998433, -74.0072436)"
20501,6966,10005,3.0,04H,39.0,Z,2013-10-16 00:00:00,4,"(40.6998433, -74.0072436)"
20502,6967,10005,3.0,06D,39.0,Z,2013-10-16 00:00:00,4,"(40.6998433, -74.0072436)"
20503,7039,10005,3.0,06D,15.0,B,2013-08-26 00:00:00,4,"(40.6998433, -74.0072436)"
20504,7040,10005,3.0,08B,15.0,B,2013-08-26 00:00:00,4,"(40.6998433, -74.0072436)"
20505,7087,10005,3.0,06E,39.0,Z,2013-10-16 00:00:00,4,"(40.6998433, -74.0072436)"
20506,7124,10005,3.0,08C,39.0,Z,2013-10-16 00:00:00,4,"(40.6998433, -74.0072436)"
20507,7132,10005,3.0,10B,10.0,A,2013-01-07 00:00:00,4,"(40.6998433, -74.0072436)"
20508,7136,10005,3.0,06D,7.0,A,2013-08-02 00:00:00,4,"(40.6998433, -74.0072436)"
20509,7830,10005,70.0,04N,13.0,A,2012-09-21 00:00:00,4,"(40.6998433, -74.0072436)"
20510,7831,10005,70.0,08A,13.0,A,2012-09-21 00:00:00,4,"(40.6998433, -74.0072436)"
20511,7832,10005,70.0,08B,13.0,A,2012-09-21 00:00:00,4,"(40.6998433, -74.0072436)"
20512,7932,10005,3.0,02G,15.0,B,2013-08-26 00:00:00,4,"(40.6998433, -74.0072436)"
20513,8884,10005,14.0,02G,11.0,A,2013-11-18 00:00:00,4,"(40.6998433, -74.0072436)"
20514,8885,10005,14.0,10H,11.0,A,2013-11-18 00:00:00,4,"(40.6998433, -74.0072436)"
20515,9110,10005,3.0,02B,12.0,A,2013-04-29 00:00:00,4,"(40.6998433, -74.0072436)"
20516,9353,10005,3.0,10F,7.0,A,2013-10-04 00:00:00,4,"(40.6998433, -74.0072436)"
20517,9658,10005,3.0,02G,10.0,A,2013-02-01 00:00:00,4,"(40.6998433, -74.0072436)"
20518,9808,10005,47.0,10B,2.0,A,2013-08-19 00:00:00,4,"(40.6998433, -74.0072436)"
20519,10234,10005,3.0,10F,2.0,A,2013-08-14 00:00:00,4,"(40.6998433, -74.0072436)"
20520,10658,10005,32.0,10F,5.0,A,2013-02-20 00:00:00,4,"(40.6998433, -74.0072436)"
20521,10684,10005,49.0,02B,12.0,A,2013-09-13 00:00:00,4,"(40.6998433, -74.0072436)"
20522,10906,10005,44.0,,,A,2013-10-03 00:00:00,4,"(40.6998433, -74.0072436)"
20523,10942,10005,3.0,10F,11.0,A,2013-02-25 00:00:00,4,"(40.6998433, -74.0072436)"
20524,11102,10005,3.0,10B,4.0,A,2013-09-04 00:00:00,4,"(40.6998433, -74.0072436)"
20525,11847,10005,3.0,10B,13.0,A,2013-04-09 00:00:00,4,"(40.6998433, -74.0072436)"
20526,12013,10005,14.0,10B,11.0,A,2013-11-18 00:00:00,4,"(40.6998433, -74.0072436)"
20527,12362,10005,3.0,10F,10.0,A,2013-02-01 00:00:00,4,"(40.6998433, -74.0072436)"
20528,12411,10005,62.0,10F,11.0,A,2013-08-19 00:00:00,4,"(40.6998433, -74.0072436)"
20529,12428,10005,75.0,02G,10.0,A,2013-05-20 00:00:00,4,"(40.6998433, -74.0072436)"
20530,12696,10005,14.0,06D,9.0,A,2013-03-01 00:00:00,4,"(40.6998433, -74.0072436)"
20531,12871,10005,3.0,06F,13.0,A,2013-09-05 00:00:00,4,"(40.6998433, -74.0072436)"
20532,12885,10005,3.0,02G,13.0,A,2013-09-05 00:00:00,4,"(40.6998433, -74.0072436)"
20533,13363,10005,32.0,10B,5.0,A,2013-02-20 00:00:00,4,"(40.6998433, -74.0072436)"
20534,13683,10005,3.0,06D,13.0,A,2013-04-09 00:00:00,4,"(40.6998433, -74.0072436)"
20535,13780,10005,3.0,10F,13.0,A,2013-04-09 00:00:00,4,"(40.6998433, -74.0072436)"
20536,13819,10005,14.0,10H,2.0,A,2013-06-03 00:00:00,4,"(40.6998433, -74.0072436)"
20537,14332,10005,14.0,10F,9.0,A,2013-03-01 00:00:00,4,"(40.6998433, -74.0072436)"
20538,14564,10005,62.0,10D,11.0,A,2013-08-19 00:00:00,4,"(40.6998433, -74.0072436)"
20539,14670,10005,3.0,10F,9.0,A,2013-02-04 00:00:00,4,"(40.6998433, -74.0072436)"
20540,14678,10005,3.0,10B,12.0,A,2013-07-26 00:00:00,4,"(40.6998433, -74.0072436)"
20541,14759,10005,3.0,06D,12.0,A,2013-07-26 00:00:00,4,"(40.6998433, -74.0072436)"
20542,16411,10005,3.0,10B,7.0,A,2013-01-25 00:00:00,4,"(40.6998433, -74.0072436)"
20543,16710,10005,62.0,06F,11.0,A,2013-08-19 00:00:00,4,"(40.6998433, -74.0072436)"
20544,16711,10005,62.0,08B,11.0,A,2013-08-19 00:00:00,4,"(40.6998433, -74.0072436)"
20545,17274,10005,3.0,02B,9.0,A,2013-02-04 00:00:00,4,"(40.6998433, -74.0072436)"
20546,17367,10005,14.0,02G,8.0,A,2012-12-12 00:00:00,4,"(40.6998433, -74.0072436)"
20547,17723,10005,35.0,06D,12.0,A,2013-02-01 00:00:00,4,"(40.6998433, -74.0072436)"
20548,18403,10005,3.0,06D,7.0,A,2013-01-25 00:00:00,4,"(40.6998433, -74.0072436)"
20549,19311,10005,27.0,04H,7.0,A,2013-09-03 00:00:00,4,"(40.6998433, -74.0072436)"
20550,19669,10005,35.0,02G,12.0,A,2013-02-01 00:00:00,4,"(40.6998433, -74.0072436)"
20551,20028,10005,49.0,10F,10.0,A,2013-01-15 00:00:00,4,"(40.6998433, -74.0072436)"
20552,20435,10005,48.0,10H,12.0,A,2013-01-25 00:00:00,4,"(40.6998433, -74.0072436)"
20553,21635,10005,62.0,10F,11.0,A,2013-08-12 00:00:00,4,"(40.6998433, -74.0072436)"
20554,21994,10005,3.0,10B,9.0,A,2013-05-21 00:00:00,4,"(40.6998433, -74.0072436)"
20555,22256,10005,3.0,10D,2.0,A,2013-09-04 00:00:00,4,"(40.6998433, -74.0072436)"
20556,23069,10005,49.0,06C,10.0,A,2013-01-15 00:00:00,4,"(40.6998433, -74.0072436)"
20557,23166,10005,62.0,02B,11.0,A,2013-08-12 00:00:00,4,"(40.6998433, -74.0072436)"
20558,23440,10005,48.0,04D,12.0,A,2013-01-25 00:00:00,4,"(40.6998433, -74.0072436)"
20559,23551,10005,8.0,10F,12.0,A,2013-05-08 00:00:00,4,"(40.6998433, -74.0072436)"
20560,23868,10005,3.0,10F,10.0,A,2013-04-30 00:00:00,4,"(40.6998433, -74.0072436)"
20561,24009,10005,3.0,06D,10.0,A,2013-04-30 00:00:00,4,"(40.6998433, -74.0072436)"
20562,24999,10005,3.0,10F,9.0,A,2013-02-25 00:00:00,4,"(40.6998433, -74.0072436)"
20563,25337,10005,3.0,04H,9.0,A,2013-05-21 00:00:00,4,"(40.6998433, -74.0072436)"
